,bot1,bot2,bot3,107305111,107306007,107405221,107601127,108102055,108205031,108207438,108208117,108303067,108304034,108306017,109102027,109204039,109208064,109703065,109703066,110703002,110703004,110703005,110703006,110703007,110703009,110703011,110703012,110703013,110703014,110703015,110703017,110703018,110703019,110703020,110703022,110703023,110703024,110703025,110703026,110703028,110703029,110703037,110703038,110703039,110703040,110703041,110703043,110703044,110703045,110703046,110703047,110703048,110703049,110703050,110703051,110703052,110703053,110703054,110703055,110703057,110703058,110703059,110703060,110703061,110703062,110703064,110703065
bot1,-,-,-,107305111,107306007,107405221,Tie,108102055,108205031,108207438,-,Tie,108304034,Tie,109102027,109204039,bot1,109703065,109703066,110703002,110703004,110703005,110703006,bot1,110703009,110703011,110703012,bot1,110703014,110703015,110703017,110703018,110703019,110703020,Tie,bot1,110703024,110703025,110703026,bot1,-,110703037,-,110703039,bot1,110703041,bot1,110703044,Tie,110703046,-,bot1,110703049,110703050,bot1,bot1,110703053,110703054,110703055,110703057,110703058,110703059,110703060,bot1,110703062,bot1,bot1
bot2,-,-,-,107305111,107306007,107405221,bot2,108102055,bot2,bot2,-,bot2,108304034,bot2,109102027,bot2,bot2,109703065,Tie,110703002,110703004,110703005,110703006,bot2,110703009,110703011,Tie,bot2,110703014,110703015,110703017,110703018,110703019,110703020,bot2,bot2,Tie,110703025,bot2,bot2,-,110703037,-,110703039,bot2,110703041,bot2,bot2,Tie,110703046,-,bot2,110703049,bot2,bot2,bot2,bot2,110703054,110703055,110703057,110703058,bot2,Tie,bot2,bot2,bot2,bot2
bot3,-,-,-,107305111,107306007,107405221,Tie,108102055,108205031,108207438,-,Tie,108304034,Tie,109102027,109204039,bot3,109703065,109703066,110703002,110703004,110703005,110703006,bot3,110703009,110703011,110703012,bot3,110703014,110703015,110703017,110703018,110703019,110703020,Tie,bot3,110703024,110703025,110703026,bot3,-,110703037,-,110703039,bot3,110703041,bot3,110703044,Tie,110703046,-,bot3,110703049,110703050,bot3,bot3,110703053,110703054,110703055,110703057,110703058,110703059,110703060,bot3,110703062,bot3,bot3
107305111,107305111,bot2,107305111,-,107306007,107405221,107305111,108102055,107305111,107305111,-,107305111,108304034,107305111,109102027,107305111,107305111,109703065,109703066,110703002,110703004,110703005,110703006,107305111,110703009,110703011,110703012,107305111,110703014,110703015,110703017,110703018,110703019,110703020,107305111,107305111,110703024,110703025,107305111,107305111,-,110703037,-,110703039,107305111,110703041,107305111,110703044,Tie,110703046,-,107305111,110703049,107305111,107305111,107305111,107305111,110703054,110703055,107305111,107305111,107305111,110703060,107305111,107305111,107305111,107305111
107306007,107306007,bot2,107306007,Tie,-,107405221,107306007,108102055,108205031,107306007,-,107306007,108304034,107306007,109102027,109204039,107306007,109703065,107306007,110703002,110703004,110703005,107306007,107306007,107306007,110703011,107306007,107306007,110703014,107306007,110703017,110703018,107306007,107306007,107306007,107306007,107306007,107306007,107306007,107306007,-,107306007,-,110703039,107306007,110703041,107306007,107306007,Tie,110703046,-,107306007,110703049,107306007,107306007,107306007,107306007,110703054,107306007,107306007,107306007,107306007,107306007,107306007,107306007,107306007,107306007
107405221,107405221,107405221,107405221,107405221,107405221,-,107405221,108102055,107405221,107405221,-,107405221,108304034,107405221,109102027,107405221,107405221,109703065,107405221,107405221,107405221,110703005,107405221,107405221,110703009,110703011,107405221,107405221,107405221,107405221,110703017,110703018,107405221,107405221,107405221,107405221,107405221,107405221,107405221,107405221,-,107405221,-,110703039,107405221,110703041,107405221,107405221,Tie,110703046,-,107405221,110703049,107405221,107405221,107405221,107405221,110703054,107405221,107405221,107405221,107405221,107405221,107405221,107405221,107405221,107405221
107601127,Tie,bot2,Tie,Tie,Tie,107405221,-,108102055,108205031,108207438,-,Tie,108304034,Tie,109102027,109204039,107601127,109703065,109703066,110703002,110703004,110703005,110703006,107601127,110703009,110703011,110703012,107601127,110703014,110703015,110703017,110703018,110703019,110703020,Tie,107601127,110703024,110703025,110703026,107601127,-,110703037,-,110703039,107601127,110703041,107601127,110703044,Tie,110703046,-,107601127,110703049,110703050,107601127,107601127,110703053,110703054,110703055,110703057,110703058,110703059,110703060,107601127,110703062,107601127,107601127
108102055,108102055,Tie,108102055,108102055,108102055,107405221,108102055,-,108102055,108102055,-,108102055,108304034,108102055,109102027,108102055,108102055,108102055,108102055,108102055,108102055,110703005,108102055,108102055,110703009,110703011,108102055,108102055,108102055,108102055,110703017,110703018,108102055,108102055,108102055,108102055,108102055,108102055,108102055,108102055,-,108102055,-,108102055,108102055,110703041,108102055,108102055,Tie,110703046,-,108102055,110703049,108102055,108102055,108102055,108102055,110703054,108102055,108102055,108102055,108102055,108102055,108102055,108102055,108102055,110703065
108205031,108205031,108205031,108205031,108205031,108205031,107405221,108205031,108205031,-,108205031,-,108205031,108304034,108205031,108205031,108205031,108205031,109703065,108205031,110703002,110703004,110703005,110703006,108205031,110703009,110703011,108205031,108205031,110703014,108205031,110703017,110703018,110703019,Tie,108205031,108205031,108205031,110703025,108205031,108205031,-,110703037,-,110703039,108205031,110703041,108205031,108205031,Tie,110703046,-,108205031,108205031,108205031,108205031,108205031,108205031,108205031,110703055,108205031,108205031,108205031,108205031,108205031,108205031,108205031,108205031
108207438,108207438,bot2,108207438,107305111,107306007,107405221,108207438,108102055,108207438,-,-,108207438,108304034,108207438,109102027,109204039,108207438,109703065,109703066,110703002,110703004,110703005,110703006,108207438,110703009,110703011,110703012,108207438,110703014,110703015,110703017,110703018,110703019,110703020,108207438,108207438,110703024,110703025,108207438,108207438,-,110703037,-,110703039,108207438,110703041,108207438,110703044,Tie,110703046,-,108207438,110703049,108207438,108207438,108207438,108207438,110703054,110703055,110703057,110703058,110703059,110703060,108207438,110703062,108207438,108207438
108208117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108303067,108303067,108303067,108303067,107305111,107306007,107405221,108303067,108102055,Tie,108207438,-,-,108304034,108303067,109102027,108303067,108303067,109703065,109703066,110703002,110703004,110703005,110703006,108303067,110703009,110703011,110703012,108303067,110703014,110703015,110703017,110703018,110703019,110703020,108303067,108303067,110703024,110703025,108303067,108303067,-,110703037,-,110703039,108303067,110703041,108303067,110703044,Tie,110703046,-,108303067,110703049,Tie,108303067,108303067,108303067,110703054,110703055,110703057,110703058,110703059,110703060,108303067,110703062,108303067,108303067
108304034,108304034,bot2,108304034,108304034,108304034,107405221,108304034,108102055,108304034,108304034,-,108304034,-,108304034,109102027,108304034,108304034,109703065,108304034,108304034,108304034,108304034,108304034,108304034,108304034,110703011,108304034,108304034,110703014,110703015,110703017,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,-,108304034,-,108304034,108304034,110703041,108304034,108304034,Tie,108304034,-,108304034,110703049,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034,108304034
108306017,Tie,bot2,Tie,107305111,107306007,107405221,Tie,108102055,108205031,108207438,-,Tie,108304034,-,109102027,109204039,108306017,109703065,109703066,110703002,110703004,110703005,110703006,108306017,110703009,110703011,110703012,108306017,110703014,110703015,110703017,110703018,110703019,110703020,Tie,108306017,110703024,110703025,110703026,108306017,-,110703037,-,110703039,108306017,110703041,108306017,110703044,Tie,110703046,-,108306017,110703049,110703050,108306017,108306017,110703053,110703054,110703055,110703057,110703058,110703059,110703060,108306017,110703062,108306017,108306017
109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,-,109102027,109102027,109102027,-,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,110703011,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,-,110703037,-,110703039,109102027,109102027,109102027,109102027,Tie,109102027,-,109102027,110703049,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027,109102027
109204039,109204039,bot2,109204039,109204039,109204039,107405221,109204039,108102055,109204039,109204039,-,109204039,108304034,109204039,109102027,-,109204039,109703065,109204039,109204039,109204039,110703005,110703006,109204039,109204039,110703011,109204039,109204039,109204039,109204039,110703017,109204039,109204039,109204039,109204039,109204039,109204039,109204039,109204039,109204039,-,109204039,-,110703039,109204039,110703041,109204039,109204039,Tie,110703046,-,109204039,110703049,109204039,109204039,109204039,109204039,110703054,109204039,110703057,109204039,109204039,109204039,109204039,109204039,109204039,109204039
109208064,bot1,bot2,bot3,107305111,107306007,107405221,107601127,108102055,108205031,108207438,-,108303067,108304034,108306017,109102027,109204039,-,109703065,109703066,110703002,110703004,110703005,110703006,110703007,110703009,110703011,110703012,110703013,110703014,110703015,110703017,110703018,110703019,110703020,110703022,110703023,110703024,110703025,110703026,110703028,-,110703037,-,110703039,110703040,110703041,110703043,110703044,110703045,110703046,-,110703048,110703049,110703050,110703051,110703052,110703053,110703054,110703055,110703057,110703058,110703059,110703060,110703061,110703062,110703064,110703065
109703065,109703065,bot2,109703065,109703065,109703065,107405221,109703065,108102055,108205031,109703065,-,109703065,108304034,109703065,109102027,109703065,109703065,-,109703065,109703065,109703065,110703005,109703065,109703065,110703009,110703011,109703065,109703065,109703065,109703065,110703017,109703065,109703065,109703065,109703065,109703065,109703065,109703065,109703065,109703065,-,109703065,-,109703065,109703065,109703065,109703065,109703065,Tie,110703046,-,109703065,110703049,109703065,109703065,109703065,109703065,110703054,109703065,109703065,109703065,109703065,109703065,109703065,109703065,109703065,109703065
109703066,109703066,bot2,109703066,107305111,107306007,107405221,109703066,108102055,109703066,109703066,-,109703066,108304034,109703066,109102027,109204039,109703066,109703065,-,110703002,110703004,110703005,110703006,109703066,110703009,Tie,Tie,109703066,110703014,110703015,110703017,110703018,110703019,110703020,109703066,109703066,Tie,110703025,109703066,109703066,-,110703037,-,110703039,109703066,110703041,109703066,109703066,Tie,110703046,-,109703066,110703049,109703066,109703066,109703066,109703066,110703054,110703055,110703057,110703058,109703066,Tie,109703066,109703066,109703066,109703066
110703002,110703002,110703002,110703002,110703002,110703002,107405221,110703002,108102055,110703002,110703002,-,110703002,108304034,110703002,109102027,110703002,110703002,109703065,110703002,-,110703002,110703005,110703002,110703002,110703009,110703011,110703002,110703002,110703014,110703002,110703017,110703018,110703002,110703002,110703002,110703002,110703002,110703002,110703002,110703002,-,110703002,-,110703039,110703002,110703041,110703002,110703002,Tie,110703046,-,110703002,110703049,110703002,110703002,110703002,110703002,110703054,110703002,110703002,110703002,110703002,110703002,110703002,110703002,110703002,110703002
110703004,110703004,bot2,110703004,110703004,110703004,107405221,110703004,108102055,110703004,Tie,-,110703004,108304034,110703004,109102027,109204039,110703004,110703004,110703004,110703004,-,110703005,110703006,110703004,110703009,110703011,110703012,110703004,110703014,110703015,110703017,110703018,110703019,110703020,110703004,110703004,110703004,110703025,110703004,110703004,-,Tie,-,110703039,110703004,110703041,110703004,Tie,Tie,110703046,-,110703004,110703049,110703004,110703004,110703004,110703004,110703054,110703055,110703057,110703058,Tie,110703060,110703004,Tie,110703004,110703004
110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,-,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,-,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703017,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,-,110703005,-,110703005,110703005,110703005,110703005,110703005,Tie,110703005,-,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005,110703005
110703006,110703006,bot2,110703006,107305111,107306007,107405221,110703006,108102055,110703006,108207438,-,110703006,108304034,110703006,109102027,109204039,110703006,109703065,109703066,110703002,110703004,110703005,-,110703006,110703009,110703011,110703006,110703006,110703014,110703006,110703017,110703018,110703019,Tie,110703006,110703006,110703024,110703025,110703006,110703006,-,110703037,-,110703039,110703006,110703041,110703006,110703006,Tie,110703046,-,110703006,110703049,110703006,110703006,110703006,110703053,110703054,110703055,110703006,110703006,110703059,110703006,110703006,110703006,110703006,110703006
110703007,bot1,bot2,bot3,107305111,107306007,107405221,107601127,108102055,108205031,108207438,-,108303067,108304034,108306017,109102027,109204039,109208064,109703065,109703066,110703002,110703004,110703005,110703006,-,110703009,110703011,110703012,110703013,110703014,110703015,110703017,110703018,110703019,110703020,110703022,110703023,110703024,110703025,110703026,110703028,-,110703037,-,110703039,110703040,110703041,110703043,110703044,110703045,110703046,-,110703048,110703049,110703050,110703051,110703052,110703053,110703054,110703055,110703057,110703058,110703059,110703060,110703061,110703062,110703064,110703065
110703009,110703009,110703009,110703009,110703009,107306007,110703009,110703009,108102055,110703009,110703009,-,110703009,108304034,110703009,109102027,109204039,110703009,110703009,110703009,110703009,110703009,110703005,110703009,110703009,-,110703011,110703009,110703009,Tie,110703009,110703009,110703009,110703009,110703009,110703009,110703009,110703009,110703009,110703009,110703009,-,110703009,-,110703039,110703009,110703009,110703009,110703009,Tie,110703046,-,110703009,110703049,110703009,110703009,110703009,110703009,110703054,110703009,110703009,110703009,110703009,110703009,110703009,110703009,110703009,110703009
110703011,110703011,110703011,110703011,110703011,110703011,110703011,110703011,110703011,110703011,110703011,-,110703011,110703011,110703011,110703011,110703011,110703011,110703011,Tie,110703011,110703011,110703011,110703011,110703011,110703011,-,Tie,110703011,110703011,110703011,110703011,110703018,110703011,110703011,110703011,110703011,Tie,110703011,110703011,110703011,-,110703011,-,110703011,110703011,110703011,110703011,110703011,Tie,110703011,-,110703011,110703011,110703011,110703011,110703011,110703011,110703011,110703011,110703011,110703011,110703011,Tie,110703011,110703011,110703011,110703011
110703012,110703012,bot2,110703012,110703012,110703012,107405221,110703012,108102055,110703012,110703012,-,110703012,108304034,110703012,109102027,110703012,110703012,109703065,Tie,110703002,110703004,110703005,110703006,110703012,110703009,Tie,-,110703012,110703014,110703015,110703017,110703018,110703019,110703020,110703012,110703012,Tie,110703025,110703012,110703012,-,110703037,-,110703039,110703012,110703041,110703012,110703012,Tie,110703046,-,110703012,110703049,110703012,110703012,110703012,110703012,110703054,110703055,110703057,110703058,110703012,Tie,110703012,110703012,110703012,110703012
110703013,bot1,bot2,bot3,107305111,107306007,107405221,107601127,108102055,108205031,108207438,-,108303067,108304034,108306017,109102027,109204039,109208064,109703065,109703066,110703002,110703004,110703005,110703006,110703007,110703009,110703011,110703012,-,110703014,110703015,110703017,110703018,110703019,110703020,110703022,110703023,110703024,110703025,110703026,110703028,-,110703037,-,110703039,110703040,110703041,110703043,110703044,110703045,110703046,-,110703048,110703049,110703050,110703051,110703052,110703053,110703054,110703055,110703057,110703058,110703059,110703060,110703061,110703062,110703064,110703065
110703014,110703014,110703014,110703014,110703014,110703014,107405221,110703014,110703014,110703014,110703014,-,110703014,108304034,110703014,109102027,110703014,110703014,110703014,110703014,110703014,110703014,110703005,110703014,110703014,110703009,110703011,110703014,110703014,-,110703014,110703017,110703018,110703014,110703014,110703014,110703014,110703014,110703014,110703014,110703014,-,110703014,-,110703039,110703014,110703041,110703014,110703014,Tie,110703046,-,110703014,110703049,110703014,110703014,110703014,110703014,110703054,110703014,110703014,110703014,110703014,110703014,110703014,110703014,110703014,110703014
110703015,Tie,110703015,Tie,107305111,107306007,107405221,Tie,108102055,108205031,108207438,-,Tie,108304034,Tie,109102027,109204039,110703015,109703065,109703066,110703002,110703004,110703005,110703006,110703015,110703009,110703011,110703012,110703015,110703014,-,110703017,110703018,110703019,110703020,Tie,110703015,110703024,110703025,110703026,110703015,-,110703037,-,110703039,110703015,110703041,110703015,110703044,Tie,110703046,-,110703015,110703049,110703050,110703015,110703015,110703053,110703054,110703055,110703057,110703058,110703059,110703060,110703015,110703062,110703015,110703015
110703017,110703017,110703017,110703017,110703017,110703017,107405221,110703017,110703017,110703017,110703017,-,110703017,110703017,110703017,109102027,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703011,110703017,110703017,110703017,110703017,-,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,-,110703017,-,110703017,110703017,110703017,110703017,110703017,Tie,110703017,-,110703017,110703049,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017,110703017
110703018,110703018,110703018,110703018,110703018,110703018,107405221,110703018,108102055,110703018,110703018,-,110703018,108304034,110703018,109102027,110703018,110703018,109703065,Tie,110703018,110703018,110703005,110703006,110703018,110703018,Tie,Tie,110703018,110703014,110703018,110703017,-,110703018,110703018,110703018,110703018,Tie,110703025,110703018,110703018,-,Tie,-,110703039,110703018,110703041,110703018,110703018,Tie,110703046,-,110703018,110703018,110703018,110703018,110703018,110703018,110703054,110703055,110703018,110703058,110703018,Tie,110703018,110703018,110703018,110703018
